"","AllContractor","NumberOfActions","Action_Obligation_OMB23_GDP21","MinOfFiscalYear","MaxOfFiscalYear","pos"
"2578","828144266",2,72534.9495071825,2011,2011,2578
"2579","175056027",1,72489.5559718938,2004,2004,2579
"2580","617045596",1,72455.7886322919,2002,2002,2580
"2581","057007502",3,72410.0852305069,2001,2007,2581
"2582","096064548",1,72291.7672898841,2007,2007,2582
"2583","002358133",2,72000,2021,2021,2583
"2584","080250644",11,71815.3320438738,2017,2021,2584
"2585","057336570",2,71771.0510852546,2013,2015,2585
"2586","060728268",7,71238.9272039717,2016,2020,2586
"2587","078704681",8,71238.3613897785,2004,2009,2587
"2588","047873658",5,70874.1753254072,2004,2006,2588
"2589","606924199",7,70756.3673824598,2001,2008,2589
"2590","968725254",2,70607.1379474067,2013,2015,2590
"2591","620768325",8,70597.6517092884,2010,2020,2591
"2592","021807185",1,70536.8932578545,2000,2000,2592
"2593","927787820",2,70494.4742789954,2016,2016,2593
"2594","151317690",10,70484.0474129405,2005,2012,2594
"2595","616447116",1,70455.3027453972,2007,2007,2595
"2596","099261153",6,70424.4407730236,2002,2006,2596
"2597","328624783",1,70378.1752379068,2001,2001,2597
"2598","091247247",2,70287.3439843384,2008,2008,2598
"2599","006013015",2,70185.6540758518,2000,2012,2599
"2600","062200720",2,70094.6518122666,2012,2012,2600
"2601","026204487",7,70020.1340606331,2005,2006,2601
"2602","131849564",1,69901.5650883505,2005,2005,2602
"2603","059196998",3,69892.2411743278,2006,2010,2603
"2604","544550366",1,69747.603047815,2008,2008,2604
"2605","075528158",7,69675.7691765482,2003,2016,2605
"2606","556075554",3,69533.5943347217,2006,2014,2606
"2607","809991560",2,69462.7020168201,2009,2009,2607
"2608","969851661",27,69420.8764879623,2014,2020,2608
"2609","019124572",39,69351.2841407469,2008,2021,2609
"2610","188855373",1,69210.6399743921,2017,2017,2610
"2611","006012199",8,69134.4850333212,2006,2017,2611
"2612","128998932",4,69132.4603923377,2006,2010,2612
"2613","059269902",1,69132.0064803211,2003,2003,2613
"2614","933188203",1,69096,2021,2021,2614
"2615","001227909",2,69084.7320497709,2004,2006,2615
"2616","160033205",3,69065.0318302732,2013,2014,2616
"2617","696831817",1,68750.1960072273,2019,2019,2617
"2618","002052025",11,68612.9755509397,2001,2018,2618
"2619","059403154",2,68583.1426262151,2010,2010,2619
"2620","041322710",6,68572.5037998237,2005,2011,2620
"2621","615303492",1,68519.0826626521,2020,2020,2621
"2622","111268848",3,68435.323533186,2010,2010,2622
"2623","004076030",7,68380.9885717326,2010,2017,2623
"2624","196351951",2,68371.859142768,2005,2006,2624
"2625","050693852",2,68238.3576069019,2005,2007,2625
"2626","609003660",6,68072.6612484838,2010,2021,2626
"2627","006907000",1,68008.1106620352,2000,2000,2627
"2628","019724298",5,67958.8032522785,2008,2013,2628
"2629","079977725",1,67632.3978422644,2016,2018,2629
"2630","809027378",2,67593.8676364909,2011,2012,2630
"2631","534999701",1,67472.5531740835,2003,2005,2631
"2632","780277997",1,67472.3161372251,2007,2007,2632
"2633","TITAN [L3 Communications]",3,67396.836224245,2004,2005,2633
"2634","015905701",6,67374.6306196729,2020,2021,2634
"2635","607690989",2,67195.2638950602,2010,2010,2635
"2636","005096094",5,67115.0845988615,2010,2015,2636
"2637","085328425",12,67026.2209399377,2010,2017,2637
"2638","056739642",4,66934.5478525541,2002,2012,2638
"2639","605797356",1,66876.6918228115,2000,2000,2639
"2640","092246099",1,66797.8276423426,2005,2005,2640
"2641","009653882",1,66793.6801144989,2000,2000,2641
"2642","962259276",3,66694.3590139094,2011,2019,2642
"2643","015002467",1,66498.9024687905,2002,2002,2643
"2644","APPLIED INDUSTRIAL TECHNOLOGIES",10,66421.9499660145,2007,2020,2644
"2645","038073987",4,66396.5832862352,2005,2006,2645
"2646","080396675",1,66250,2021,2021,2646
"2647","079634995",2,66241.9294769092,2015,2015,2647
"2648","131894453",6,66070.6207958265,2007,2012,2648
"2649","150349678",10,66013.6543032548,2004,2009,2649
"2650","197048754",3,65922.4633432317,2001,2007,2650
"2651","004892188",3,65864.6322910833,2004,2008,2651
"2652","047073960",6,65800.7688017347,2006,2021,2652
"2653","052636045",1,65774.9849013907,2003,2003,2653
"2654","962155987",7,65524.8383324546,2014,2017,2654
"2655","963402420",5,65476.985599306,2011,2012,2655
"2656","185101649",1,65441.0297538935,2004,2004,2656
"2657","603836078",8,65310.9354599791,2006,2011,2657
"2658","030342877",2,65245.1741864191,2006,2007,2658
"2659","144761152",1,65181.0899432465,2006,2006,2659
"2660","008389520",1,65179.2720098548,2007,2007,2660
"2661","103720645",1,65141.6927384,2003,2003,2661
"2662","008339830",2,65136.6716932195,2020,2020,2662
"2663","GILL GROUP",1,65123.8508820242,2011,2011,2663
"2664","942642450",1,65110.9575875948,2016,2016,2664
"2665","026570077",8,64843.1598105279,2005,2008,2665
"2666","162028117",13,64755.3870433187,2014,2020,2666
"2667","020790705",9,64690.3249150166,2007,2021,2667
"2668","195038898",4,64654.8870940777,2017,2018,2668
"2669","029229775",1,64471.4969057176,2002,2002,2669
"2670","879585248",8,64458.9801524548,2006,2016,2670
"2671","792102113",7,64313.0469388728,2003,2010,2671
"2672","075709360",5,64274.3016962789,2007,2020,2672
"2673","035243609",4,63669.0503573721,2006,2017,2673
"2674","052247434",6,63663.1003436389,2005,2007,2674
"2675","602959579",6,63367.9130110894,2012,2012,2675
"2676","041339557",1,63366.0228557661,2009,2009,2676
"2677","007960446",14,63357.003256145,2013,2018,2677
"2678","362421104",1,63325.0761407274,2004,2004,2678
"2679","002217834",1,63273.3687805011,2000,2000,2679
"2680","078742230",4,62966.8851534396,2019,2020,2680
"2681","969960637",1,62954.180477707,2017,2017,2681
"2682","008244139",6,62929.9761939719,2003,2012,2682
"2683","022810311",1,62891.1353189806,2001,2001,2683
"2684","787951362",3,62741.7637048847,2011,2013,2684
"2685","029351079",3,62683.8577232724,2013,2015,2685
"2686","836352419",1,62591.6537222235,2001,2001,2686
"2687","067104364",2,62562.8482495639,2004,2006,2687
"2688","009571290",1,62516.7833230343,2001,2001,2688
"2689","869305961",2,62450.6752698957,2008,2008,2689
"2690","064457435",11,62183.3052646669,2016,2021,2690
"2691","002515559",4,62181.1332582281,2003,2007,2691
"2692","085336993",1,62170.559945664,2005,2005,2692
"2693","073108789",2,62088.0208331781,2006,2007,2693
"2694","609186051",12,61994.2865166392,2005,2014,2694
"2695","040148686",1,61966.7030015063,2000,2000,2695
"2696","086503539",1,61895.5859830352,2002,2002,2696
"2697","047725965",2,61818.8456303702,2012,2015,2697
"2698","859124976",13,61497.7553843766,2005,2018,2698
"2699","001205921",1,61490.1543056376,2000,2000,2699
"2700","200074565",3,61441.9469826516,2003,2006,2700
"2701","008629185",12,61441.2214659967,2002,2018,2701
"2702","008501116",22,61221.8365963326,2006,2021,2702
"2703","024068132",1,61195.7961947148,2011,2011,2703
"2704","621765499",2,61192.0380189255,2004,2007,2704
"2705","038231601",6,60692.1973513284,2006,2010,2705
"2706","124416061",1,60687.5056025591,2006,2006,2706
"2707","785225988",5,60591.4719545266,2012,2016,2707
"2708","138269654",2,60561.8292226625,2005,2010,2708
"2709","004284931",6,60501.0978024714,2019,2021,2709
"2710","099735177",1,60404.8966052613,2003,2003,2710
"2711","002160208",4,60185.6112099961,2003,2006,2711
"2712","066686528",1,60049.747441028,2000,2000,2712
"2713","806666012",3,59610.633855322,2014,2014,2713
"2714","196991434",1,59477.0451159502,2001,2001,2714
"2715","017145579",3,59468.6085652443,2011,2020,2715
"2716","107199999",1,59406.8841676535,2005,2005,2716
"2717","080180059",3,59366.3220893439,2016,2016,2717
"2718","017508557",4,59315.1709827477,2016,2020,2718
"2719","803409440",2,59165.7822102071,2006,2014,2719
"2720","928215565",2,59117.7008566209,2013,2014,2720
"2721","056905060",1,59110.1801599228,2001,2001,2721
"2722","076389295",11,59061.4282495923,2008,2017,2722
"2723","API TECHNOLOGIES",5,58870.2568149414,2006,2006,2723
"2724","038552233",11,58777.3399470732,2003,2008,2724
"2725","118824833",3,58761.4720010772,2005,2014,2725
"2726","002812089",1,58595.6480799988,2007,2007,2726
"2727","003335532",1,58450.8556242489,2012,2012,2727
"2728","078342365",11,58282.6180799829,2012,2014,2728
"2729","161606967",1,58243.1809373112,2001,2001,2729
"2730","619026644",2,58163.7911872731,2004,2007,2730
"2731","054702907",6,57997.6568207305,2001,2006,2731
"2732","002069409",2,57976.1321004145,2011,2012,2732
"2733","060763596",9,57922.1719108187,2004,2006,2733
"2734","809291347",1,57892.9306133537,2010,2010,2734
"2735","099849580",1,57647.0196615353,2000,2000,2735
"2736","005457298",2,57631.7667228109,2019,2019,2736
"2737","168848286",2,57592.4412742743,2007,2007,2737
"2738","021591623",4,57574.7991393618,2005,2011,2738
"2739","004520953",3,57479.4981350241,2013,2014,2739
"2740","804859841",5,57399.9473652135,2003,2006,2740
"2741","602748175",2,57342.4120666717,2006,2006,2741
"2742","064608573",1,57336.8262362726,2005,2005,2742
"2743","080916425",2,57320.0498,2021,2021,2743
"2744","027662626",1,57311.5079629605,2003,2003,2744
"2745","341814222",2,57126.899978863,2017,2017,2745
"2746","009492067",5,57024.7907268978,2006,2013,2746
"2747","Radian International LLC",1,56996.6283854306,2008,2008,2747
"2748","622845365",4,56907.0724717039,2015,2021,2748
"2749","196012033",5,56747.6305808361,2006,2011,2749
"2750","050869502",2,56705.8590773939,2003,2006,2750
"2751","849373550",4,56536.9665002871,2013,2021,2751
"2752","620108464",2,56458.9992820115,2003,2003,2752
"2753","090084620",2,56397.5260197958,2010,2011,2753
"2754","944205590",4,56243.3206559745,2011,2013,2754
"2755","008838278",1,56017.2417133263,2007,2007,2755
"2756","021248562",2,55962.402731211,2002,2017,2756
"2757","092830249",6,55913.8553331923,2005,2008,2757
"2758","151333002",3,55858.2330147474,2004,2006,2758
"2759","085866580",3,55855.724203706,2009,2012,2759
"2760","001619873",2,55783.6080622052,2005,2005,2760
"2761","044441640",6,55727.6889968734,2004,2007,2761
"2762","WYLE LABORATORIES",1,55660.7399461359,2006,2006,2762
"2763","027436278",1,55601.9670295529,2010,2010,2763
"2764","066357658",2,55518.5567384246,2007,2008,2764
"2765","068393966",1,55404.0954000543,2001,2001,2765
"2766","118401871",1,55352.9535919296,2011,2011,2766
"2767","004541074",3,55147.1246087174,2005,2009,2767
"2768","828507488",1,55122.7661352724,2009,2009,2768
"2769","002212710",5,55088.7109679969,2006,2012,2769
"2770","787028992",2,55073.7804089559,2018,2020,2770
"2771","080837536",15,54970.0068850219,2019,2021,2771
"2772","785995127",1,54950.5895450835,2004,2004,2772
"2773","057223794",1,54804.129489581,2003,2003,2773
"2774","078756352",3,54783.3999797301,2017,2018,2774
"2775","005871772",1,54669.447445868,2003,2003,2775
"2776","969890214",1,54652.5726143748,2015,2015,2776
"2777","833040447",2,54649.0167442845,2019,2020,2777
"2778","833064566",4,54644.8606869228,2012,2012,2778
"2779","HARDIGG INDUSTRIES",1,54553.5676652643,2001,2001,2779
"2780","004534657",18,54316.1879830572,2009,2021,2780
"2781","080204945",1,54035.8904197412,2018,2018,2781
"2782","022623631",6,53952.9953896229,2006,2006,2782
"2783","125103460",1,53894.374642091,2013,2013,2783
"2784","780589649",3,53672.0449229555,2012,2018,2784
"2785","CARGOTEC",14,53629.0118848208,2018,2019,2785
"2786","080389044",2,53300.9999802786,2017,2017,2786
"2787","030604524",2,53215.0706050418,2006,2008,2787
"2788","962282922",12,53189.4953316635,2017,2019,2788
"2789","187569876",3,53145.1482160946,2014,2016,2789
"2790","836162305",1,53021.9151165946,2008,2008,2790
"2791","949285621",1,52881.5327028483,2000,2000,2791
"2792","260479927",2,52716.0872120471,2020,2021,2792
"2793","969940121",1,52633.8906300516,2001,2001,2793
"2794","157369331",1,52633.4796935121,2007,2007,2794
"2795","155233075",21,52613.501232387,2007,2020,2795
"2796","790385533",1,52606.1119795882,2009,2009,2796
"2797","150951932",3,52581.7170668897,2007,2012,2797
"2798","AMERIDATA TECHNOLOGIES",1,52547.6244119762,2005,2005,2798
"2799","176512606",3,52452.4107777921,2010,2010,2799
"2800","007250897",1,52386.6852730301,2002,2002,2800
"2801","069876325",3,52284.1180174918,2014,2017,2801
"2802","103069295",1,52237.2506673754,2005,2005,2802
"2803","001178680",1,52138.3538456029,2006,2006,2803
"2804","003156684",1,52048.8299396929,2004,2004,2804
"2805","147190417",4,52026.7889819097,2002,2006,2805
"2806","073247855",3,52014.5097747107,2006,2006,2806
"2807","061692836",1,51886.8376469343,2002,2002,2807
"2808","185734746",2,51885.0365396871,2013,2015,2808
"2809","102469350",1,51832.4153483309,2005,2005,2809
"2810","786731880",1,51473.0700090078,2012,2012,2810
"2811","791516933",7,51439.8596766889,2006,2019,2811
"2812","836116475",5,51411.0297876208,2006,2021,2812
"2813","176657682",1,51314.6666148081,2004,2004,2813
"2814","042804641",1,51306.4967400253,2015,2015,2814
"2815","015101848",3,51264.6470967434,2003,2017,2815
"2816","131621831",18,51222.5354345933,2009,2021,2816
"2817","122769144",1,51093.3747671522,2020,2020,2817
"2818","196463665",4,51092.4481509177,2001,2005,2818
"2819","315652532",1,51079.8711816932,2000,2000,2819
"2820","082848102",1,51068.5030378394,2002,2002,2820
"2821","055681241",6,50979.0373602114,2018,2020,2821
"2822","102058323",2,50875.0060685368,2004,2004,2822
"2823","050157346",2,50799.9974868606,2011,2013,2823
"2824","001210996",1,50725.9177213679,2018,2018,2824
"2825","079433916",1,50578,2021,2021,2825
"2826","118324735",3,50537.6175171087,2010,2011,2826
"2827","942892803",1,50437.2990691992,2000,2000,2827
"2828","082056602",3,50353.6956029568,2006,2006,2828
"2829","180423410",1,50344.1490275364,2019,2019,2829
"2830","067295089",1,50265.049320634,2006,2006,2830
"2831","078511313",8,50110.6229339078,2012,2019,2831
"2832","253700082",4,50028.9617832498,2013,2014,2832
"2833","828190202",4,49941.9798296981,2005,2007,2833
"2834","191333421",4,49834.5267247954,2009,2010,2834
"2835","783146454",8,49833.5940807396,2014,2021,2835
"2836","118798016",3,49824.4687109232,2005,2017,2836
"2837","103477563",1,49824.044641306,2002,2002,2837
"2838","101237246",1,49783.9661797018,2000,2000,2838
"2839","184618981",2,49595.915272385,2005,2006,2839
"2840","VELCON FILTERS",6,49568.153053842,2007,2010,2840
"2841","114141930",4,49518.6949458926,2005,2006,2841
"2842","079345899",2,49424.1826574413,2017,2018,2842
"2843","783218670",1,49322.7900224096,2000,2000,2843
"2844","006517577",2,49245.4263013147,2010,2011,2844
"2845","807107706",2,49025.140534518,2008,2009,2845
"2846","005287599",3,48950.7617188384,2009,2009,2846
"2847","HERCULES",1,48946.1628272875,2000,2000,2847
"2848","119338783",3,48945.7108262268,2003,2006,2848
"2849","BAYER",1,48933.7955021182,2001,2001,2849
"2850","GEORGIA INSTITUTE OF TECHNOLOGY",1,48851.1718079229,2004,2004,2850
"2851","002060150",2,48841.0688085472,2012,2012,2851
"2852","049439078",3,48703.5805221499,2003,2005,2852
"2853","118866730",6,48690.2741876052,2006,2006,2853
"2854","136247165",3,48597.1457145217,2004,2004,2854
"2855","191975051",2,48510.066830039,2005,2005,2855
"2856","049652852",1,48495.5410687033,2002,2002,2856
"2857","802760579",19,48360.92783241,2015,2021,2857
"2858","079332200",1,48240.0284061099,2020,2020,2858
"2859","006078703",3,48212.3006583872,2010,2012,2859
"2860","006533780",1,48119.2055589391,2001,2001,2860
"2861","001315019",13,48103.2141612737,2016,2021,2861
"2862","146974472",1,48027.0436729609,2003,2003,2862
"2863","006158588",1,47927.7617,2021,2021,2863
"2864","966895026",30,47902.2873340063,2011,2021,2864
"2865","004199782",1,47871.1009887136,2007,2007,2865
"2866","868517769",4,47870.7306139717,2010,2011,2866
"2867","078781496",2,47857.6009507848,2014,2015,2867
"2868","157204512",1,47734.3717071063,2001,2001,2868
"2869","107956505",1,47711.8303791646,2003,2003,2869
"2870","039027347",1,47634.0797560226,2004,2004,2870
"2871","131492498",1,47614.0313238872,2005,2005,2871
"2872","148081029",1,47599.6049885656,2001,2001,2872
"2873","327210605",1,47578.249845385,2004,2004,2873
"2874","781657481",3,47526.3797073389,2007,2012,2874
"2875","004252813",1,47525.7402628273,2000,2000,2875
"2876","002045417",4,47500.213268157,2011,2012,2876
"2877","806647801",1,47442.7646526785,2002,2002,2877
"2878","878199009",21,47317.7669139765,2005,2018,2878
"2879","958004889",3,47314.5085640969,2020,2020,2879
"2880","694365180",1,47106.4134084595,2015,2015,2880
"2881","055258347",2,47034.3174707907,2004,2021,2881
"2882","197401896",2,47027.5715991273,2011,2011,2882
"2883","130112360",17,47002.3055060595,2004,2007,2883
"2884","557415119",4,46943.7604452399,2013,2014,2884
"2885","001455856",1,46923.7971446739,2003,2003,2885
"2886","088984216",5,46923.0595456281,2000,2006,2886
"2887","110859241",2,46913.4605021588,2003,2013,2887
"2888","049180680",4,46835.3980602583,2002,2005,2888
"2889","091243238",3,46804.4119929348,2004,2009,2889
"2890","784078987",13,46796.894440135,2016,2020,2890
"2891","623230104",1,46785.1388086973,2010,2010,2891
"2892","004158341",1,46637.2396048591,2003,2003,2892
"2893","627094170",4,46603.7789509487,2016,2018,2893
"2894","091606160",7,46571.9387841004,2006,2017,2894
"2895","110441362",1,46563.9764958848,2002,2002,2895
"2896","080259985",4,46401.2999828315,2017,2017,2896
"2897","129617440",2,46369.7699400979,2008,2013,2897
"2898","138844613",5,46340.9832469365,2015,2018,2898
"2899","832655232",3,46215.0285477676,2012,2013,2899
"2900","006065304",1,46135.7639101832,2003,2003,2900
"2901","062090816",1,46117.6157292282,2000,2000,2901
"2902","089964282",1,46073.9530194194,2007,2007,2902
"2903","790794882",2,46019.5820080534,2012,2012,2903
"2904","069937126",3,46004.4338612456,2016,2020,2904
"2905","099216798",1,46003.6753220901,2002,2002,2905
"2906","957215957",1,45958.098235498,2003,2003,2906
"2907","041207432",1,45935.1736323128,2003,2003,2907
"2908","839821191",1,45880.5806231801,2001,2001,2908
"2909","791792583",2,45783.4138848547,2009,2020,2909
"2910","829871362",1,45749.5341797568,2014,2014,2910
"2911","005434170",2,45728.445460584,2006,2006,2911
"2912","079742980",1,45687.1484,2021,2021,2912
"2913","098112766",1,45649.8008965355,2002,2002,2913
"2914","176756450",4,45638.4571014384,2019,2021,2914
"2915","011042954",2,45626.7629602726,2006,2006,2915
"2916","008278673",1,45502.7141861718,2000,2000,2916
"2917","176693109",1,45352.3513414919,2005,2005,2917
"2918","179587365",3,45278.1315330004,2004,2005,2918
"2919","161778493",2,45038.8009749523,2012,2013,2919
"2920","079171402",13,44976.0671643634,2014,2016,2920
"2921","859690450",12,44879.5938494335,2011,2017,2921
"2922","006190586",2,44821.7991378514,2003,2006,2922
"2923","002105245",2,44817.8331669,2011,2013,2923
"2924","770251296",1,44663.9285101009,2004,2004,2924
"2925","002174647",5,44617.7596879511,2006,2006,2925
"2926","008484933",1,44595.8045730924,2001,2001,2926
"2927","ARMOR HOLDINGS [BAE]",3,44570.829303192,2006,2006,2927
"2928","055028554",2,44521.0869021112,2012,2012,2928
"2929","876353590",1,44503.4991787052,2000,2000,2929
"2930","631127532",1,44404.9494592193,2015,2015,2930
"2931","030256739",4,44397.4476039429,2006,2006,2931
"2932","088282728",1,44313.6298066904,2010,2010,2932
"2933","080349764",2,44285.6829864592,2007,2007,2933
"2934","196874390",3,44282.5528878115,2005,2014,2934
"2935","020132288",6,44276.5271522393,2001,2017,2935
"2936","008285165",3,44275.8526266029,2009,2020,2936
"2937","130385870",1,44275.8300452366,2008,2008,2937
"2938","048420418",1,44272.9111000591,2000,2000,2938
"2939","008284598",1,44250.2152982018,2003,2003,2939
"2940","006092399",2,44221.0224329071,2006,2018,2940
"2941","877455196",1,44217.2611811231,2003,2003,2941
"2942","040608036",1,44188.2502978481,2009,2009,2942
"2943","078700035",4,44132.361079233,2013,2016,2943
"2944","242269165",2,44130.6015111513,2006,2007,2944
"2945","052406014",2,44040.9968931972,2011,2012,2945
"2946","003732393",1,44035.909002413,2010,2010,2946
"2947","147165450",3,43981.2283325389,2019,2019,2947
"2948","121174809",1,43923.5397028129,2003,2003,2948
"2949","627989833",1,43917.2906880915,2002,2002,2949
"2950","127112147",4,43907.5540035988,2008,2012,2950
"2951","099888679",2,43843.3602063585,2003,2007,2951
"2952","807493887",2,43841.9172515781,2017,2018,2952
"2953","006332837",4,43829.8648104886,2005,2006,2953
"2954","128229502",3,43769.10189689,2006,2006,2954
"2955","124277489",4,43727.2520871209,2007,2011,2955
"2956","VARIAN ASSOCIATES",1,43711.1536779974,2007,2007,2956
"2957","363703901",2,43664.5731096874,2003,2004,2957
"2958","082487265",1,43658.4271752428,2001,2001,2958
"2959","093832483",4,43643.954204199,2004,2006,2959
"2960","004792719",3,43583.4017131153,2006,2009,2960
"2961","002294585",11,43504.0862308084,2005,2021,2961
"2962","626407092",1,43306.008204512,2003,2003,2962
"2963","125830617",2,43199.5471588392,2003,2005,2963
"2964","097760680",2,43131.6308372451,2006,2006,2964
"2965","604006874",2,43111.2002,2021,2021,2965
"2966","056401037",1,43097.4572616213,2015,2015,2966
"2967","SPIRENT COMMUNICATIONS",1,43083.5440404019,2009,2009,2967
"2968","173518440",5,43080.8445008884,2009,2021,2968
"2969","519879304",1,42990.3828336421,2015,2015,2969
"2970","048167816",1,42989.8447977839,2002,2002,2970
"2971","876625013",2,42963.1196454964,2008,2008,2971
"2972","611079799",6,42959.3322644476,2005,2021,2972
"2973","074587585",1,42903.733551415,2001,2001,2973
"2974","006249338",1,42879.3044912717,2015,2015,2974
"2975","786501952",5,42817.7360676394,2007,2020,2975
"2976","146202267",1,42737.4027464021,2009,2009,2976
"2977","038559030",1,42645.6772405507,2004,2004,2977
"2978","009952404",1,42489.6014655038,2013,2013,2978
"2979","052327608",1,42476.4241267482,2003,2003,2979
"2980","045334349",1,42463.4565897716,2002,2002,2980
"2981","926736158",1,42429.5436239892,2002,2002,2981
"2982","806805672",6,42378.3645978545,2008,2009,2982
"2983","830810961",4,42355.5063436961,2010,2011,2983
"2984","006090294",1,42308.300669994,2000,2000,2984
"2985","160168019",1,42187.6527312428,2012,2012,2985
"2986","001027838",1,42148.4262687993,2000,2000,2986
"2987","806678327",8,42020.1957552667,2014,2019,2987
"2988","087579256",2,41905.9215272636,2010,2019,2988
"2989","038154340",1,41904.62989275,2002,2002,2989
"2990","030858922",6,41856.7714431485,2006,2019,2990
"2991","612878772",2,41759.5405450192,2018,2020,2991
"2992","507338817",1,41727.9625144949,2013,2013,2992
"2993","128453768",4,41719.3727731166,2012,2013,2993
"2994","055012728",4,41680.4955836401,2017,2019,2994
"2995","158009758",1,41658.3396025864,2017,2017,2995
"2996","145561820",2,41648.1293355388,2007,2008,2996
"2997","691228266",1,41635.1558580097,2004,2004,2997
"2998","048171628",3,41569.8919222049,2006,2006,2998
"2999","787691112",1,41555.0581952564,2011,2011,2999
"3000","015230449",7,41529.1696416481,2014,2021,3000
"3001","781659941",1,41511.4473670025,2009,2009,3001
"3002","071610497",1,41507.8675472118,2018,2018,3002
"3003","161519566",1,41475.2063348839,2001,2001,3003
"3004","115978041",2,41444.4402015652,2006,2015,3004
"3005","144667354",5,41361.6936846447,2012,2013,3005
"3006","055290696",1,41303.6809003314,2008,2008,3006
"3007","004277869",3,41288.7708442409,2006,2013,3007
"3008","277636981",1,41286.2189165245,2004,2004,3008
"3009","055065668",1,41267.0666251378,2001,2001,3009
"3010","080581036",1,41244.0642983815,2002,2002,3010
"3011","603447384",2,41218.7506318304,2005,2009,3011
"3012","081371743",26,41071.9289708317,2019,2021,3012
"3013","785323239",1,41026.4429752853,2003,2003,3013
"3014","806095217",3,41026.2739875945,2005,2018,3014
"3015","067144105",1,41025.2140842936,2004,2004,3015
"3016","074698127",5,40971.1509060514,2006,2017,3016
"3017","044633410",10,40904.5464158171,2008,2021,3017
"3018","063136907",1,40882.3614670828,2016,2016,3018
"3019","829950414",22,40825.9052581714,2015,2020,3019
"3020","001181395",1,40807.6191735309,2002,2002,3020
"3021","859716677",1,40793.6087499334,2009,2009,3021
"3022","006269062",1,40751.3477370631,2003,2003,3022
"3023","022741708",1,40696.7129014419,2012,2012,3023
"3024","005081740",1,40695.558938772,2002,2002,3024
"3025","604240643",1,40614.3371436369,2006,2006,3025
"3026","623677908",3,40601.8875631676,2006,2012,3026
"3027","144683625",1,40584.8518118647,2007,2007,3027
"3028","618580802",1,40467.9392669766,2010,2010,3028
"3029","556537355",3,40459.206149572,2006,2006,3029
"3030","014218168",3,40445.7409409773,2008,2009,3030
"3031","150511715",1,40434.5765499255,2002,2002,3031
"3032","169744880",1,40358.2112352345,2010,2010,3032
"3033","008317828",4,40313.8400779066,2005,2010,3033
"3034","494990963",2,40282.6276812941,2020,2021,3034
"3035","028740363",8,40158.9183664017,2016,2021,3035
"3036","693036055",3,40135.881888696,2007,2007,3036
"3037","LITTON [NORTHROP GRUMMAN]",1,40106.5754377042,2001,2001,3037
"3038","INSIGHT TECHNOLOGY",4,40083.1242075515,2006,2009,3038
"3039","189746365",2,39654.5030818908,2016,2017,3039
"3040","945588275",1,39645.7769885598,2000,2000,3040
"3041","002036978",2,39645.3829561495,2016,2016,3041
"3042","964076405",2,39557.0998647574,2002,2006,3042
"3043","006398168",1,39501.9568634705,2003,2003,3043
"3044","005368915",1,39468.7447047119,2005,2005,3044
"3045","209025428",1,39414.2386229099,2002,2002,3045
"3046","928267046",1,39315.267409167,2000,2000,3046
"3047","126506042",6,39234.004716679,2007,2015,3047
"3048","008385312",13,39227.309254009,2006,2018,3048
"3049","799223185",2,39171.2278122934,2006,2006,3049
"3050","760000802",1,39159.099321231,2004,2004,3050
"3051","008012809",3,39124.7221368608,2014,2017,3051
"3052","828449038",3,39092.9013977828,2012,2015,3052
"3053","869173815",1,39077.0693779972,2011,2011,3053
"3054","143849755",6,39066.2127103997,2010,2014,3054
"3055","751568072",3,38929.3622973996,2015,2016,3055
"3056","061228859",1,38825.6810695076,2003,2003,3056
"3057","006008130",10,38799.0225731305,2014,2016,3057
"3058","056426786",1,38794.8460439083,2001,2001,3058
"3059","007439065",2,38788.4285893317,2003,2003,3059
"3060","782669923",1,38759.9154601719,2004,2004,3060
"3061","116718722",1,38738.7972125517,2000,2000,3061
"3062","074710005",1,38684.3726202037,2002,2002,3062
"3063","002028645",2,38658.9044453395,2006,2006,3063
"3064","076298173",1,38617.0520013198,2013,2013,3064
"3065","042926126",1,38462.0915181763,2000,2000,3065
"3066","010047582",1,38459.3553092276,2005,2005,3066
"3067","942506312",4,38431.8238725159,2004,2019,3067
"3068","790635486",8,38407.4155001034,2005,2011,3068
"3069","002217826",1,38183.9035865239,2001,2001,3069
"3070","043074413",1,38163.5281617708,2006,2006,3070
"3071","196183388",1,38101.5461474157,2001,2001,3071
"3072","084359678",1,38027.9785983391,2009,2009,3072
"3073","243367328",5,37966.1385399414,2012,2014,3073
"3074","194800426",1,37884.0992263297,2012,2012,3074
"3075","061462037",2,37871.7367000538,2004,2005,3075
"3076","149189388",2,37849.3553082444,2006,2006,3076
"3077","841010572",3,37816.7676703629,2006,2009,3077
"3078","010612265",1,37700.7424231738,2006,2006,3078
"3079","042585612",1,37672.881553827,2002,2002,3079
"3080","060325941",4,37647.833680496,2005,2006,3080
"3081","010570224",2,37623.5048898996,2005,2006,3081
"3082","050202100",1,37560.821319068,2002,2002,3082
"3083","EMS TECHNOLOGIES",1,37524.7098387484,2003,2003,3083
"3084","061388674",1,37507.7401552349,2002,2002,3084
"3085","056345309",1,37498.893294596,2002,2002,3085
"3086","129793902",5,37478.4814027219,2007,2008,3086
"3087","075335484",1,37457.1515805197,2011,2011,3087
"3088","091675256",2,37450.9481263064,2015,2017,3088
"3089","066587528",1,37447.1788585016,2001,2001,3089
