year,A-1,A-3,A-4,A-7,A-9,A-10,A-26,A-37,AC-47,AC-119,AC-123,AC-130,AT-33,F-3,F-4,F-5,F-6,F-8,F-11,F-15,F-16,F-24,F-47,F-51,F-80,F-82,F-84,F-86,F-89,F-94,F-100,F-101,F-102,F-104,F-105,F-106,F-107,F-111,F-117,F-22A,FH-1,F-35A,MiG-15,N-156,NA-37,S-2,TF-15,XF-4,YA-37,YAT-28,YF-4,YF-5,YF-15,YF-16/17,YF-84,YF-117,B-1,B-2,B-17,B-25,B-26,B-29,B-36,B-45,B-47,B-50,B-52,B-57,B-58,B-66,FB-111,JD-1,P2V-5,XB-70,B-57,C-121,C-130,C-135,DC-130,E-3,E-4,E-8,E-9,E-11,E-47,EA-1,EB-47,EB-57,EB-66,EC-18,EC-47,EC-54,EC-121,EC-130,EC-135,EF-111,ER-47,ET-29,JRB-57,MC-12,MC/WC-130,MC-130,MQ-9,OC/WC-135,OV-10,R-47,RB-17,RB-25,RB-26,RB-29,RB-36,RB-45,RB-47,RB-50,RB-52,RB-57,RB-66,RC-45,RC-47,RC-54,RC-121,RC-130,RC-135,RF-4,RF-51,RF-80,RF-84,RF-86,RF-101,RF-104,RF-111,M/RQ-1,RQ-4,RT-33,SR-71,TC-130,TC-135,TE-8,TR-1,TU-2,U-2,WB-26,WB-29,WB-47,WB-50,WB-57,WB-66,WC-130,OC-135,WC-135,WT-33,YRB-58,YRF-4,KB-29,KB-50,KC-10,KC-97,KC-119,KC-135,NKC-135,HC-130,YKB-29J,319A,AMST,C/AC/VC-47,C-5,C-6,C-7,C-8,C-9,C-12,C-17,C-18,C-20,C-21,C-22,C-23,C-26,C-27,C-32,C-37,C-38,C-40,C-41,C-45,C-46,C-47,C-53,C-54,C-64,C-74,C-82,C-97,C-99,C-117,C-118,C-119,C-121,C-122,C-123,C-124,C-125,C-129,C-130,C-131,C-133,C-134,C-135,C-137,C-140,C-141,CB-17,CB-25,CB-26,CT/T-39,CT-29,CV-22,DC-130,EC-121,EC-137,LC-130,MC-130,NC-130,NC-135,NC-141,NT-29,NT/T-39,RC-130,T-39,VB-17,VB-25,VB-26,VC-6,VC-9,VC-25,VC-47,VC-53,VC-54,VC-97,VC-117,VC-118,VC-121,VC-123,VC-131,VC-135,VC-137,VC-140,VT-29,WV-2,XC-8,XC-142,H/HH/UH-1,HOK-1,HUL-1,TH-1,YAO-1,YH-1,HSS-2,YHO-2,H/HH/CH-3,H-5,YOH-6,H-12,H/UH-13,OH-13,H-16,YH-16,H-18,H/HH/UH-19,H/HH/CH-21,H-23,H-24,H-32,H/HH/CH/SH/UH-34,H-37,H-39,H-40,XH-40,YH-40,YH-41,H/HH-43,CH-47,H/HH/CH-53,H/HH-60,AT-38,C/T-43,CT-39,DT-33,LT-6,NT-29,T-1,T-3,T-6,T-7,T-11,T-28,T-29,T-33,T-34,T-35,T-37,T-38,T-39,T-41,T-46,T-51,T-53,TB-17,TB-25,TB-26,TB-29,TB-45,TB-47,TB-50,TB-57,TB-58,TC-18,TC-45,TC-46,TC-47,TC-54,TC-121,TC-130,TC-135,TF-47,TF-51,TF-80,TF-84,TF-86,TF-101,TF-102,TG-3,TG-4,TG-7,TG-9,TG-10,TG-11,TG-14,TH-5,TRF-51,TV-2,UV-18,YAT-37
1974,,,,357,,2,,108,,,,31,,,1365,39,,,,16,,,,,,,,,,,443,149,183,96,219,238,,365,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,403,24,,1,74,,,,,,,,7,,,,,,,,,19,,,,,33,,52,,,14,,,0,,,7,91,,,,,,,,1,,,,,,,,,6,26,383,,,,,80,,,,,,,,,,,,,,,,,,1,20,,,,,,,,,77,,657,,,,,,,78,1,45,1,20,,,,,,,,,,,,,,,,,13,,11,,,,17,,,44,25,7,2,82,29,,,531,102,,,12,,15,280,,,,,3,,,,,,,,,,,,,,,,,1,,,,,,,,48,,,,,5,,186,,0,,189,,,0,,,,,95,,,,,,,,,,,,,,,,,,,,,18,,53,,,17,,,,,,,,,,1,217,280,,,760,971,139,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,,,,394,,5,,125,,,,23,,,1374,5,,,,29,2,,,,,,,,,,421,149,44,19,225,235,,376,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,426,,,,71,,,,5,,,,12,,3,,,,,,,38,,,,,27,,51,2,,,,,0,,,7,90,,,,,,,,1,,,,,,,,,,26,378,,,,,64,,,,,,11,,,,,,20,,,,,,1,19,,,,,,,,,75,,658,,,,,,,76,0,49,,20,,,,,,,,,,,,,,,,,8,,5,,,,3,,,,8,,,72,,,,561,69,,,17,,15,278,,,,,,,,,,,,,,,,,,138,,,,1,3,,,,,,,10,,,,,5,,12,,1,,161,,,0,,,,,83,,,,,,,,,,,,,,,,,,,,,8,,53,,,19,,,,,,,,,,1,,239,,,701,925,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,,,,403,,15,,146,,,,20,,,1444,93,,,,79,2,,,,,,,,,,395,109,19,4,217,234,,377,,,,,,,,,15,,,,,,,,,,3,,,,,,,,,,421,,,,69,,,,7,,,,12,,4,,,,,,,36,,,,,0,,51,2,,,,,7,,,7,90,,,,,,,,,,,,,,,,,,26,375,,,,,21,,,,,,11,,,,,,19,,,,,,,12,,,,,,,,,71,,654,,,,,,,77,0,49,,20,7,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,66,,,,585,59,,,17,,15,278,,,,,,,,,,,,,,,,,,137,,,,1,3,,,,,,,1,,,,,5,,,,1,,160,,,0,,,,,85,,,,,,,,,,,,,,,,,,,,,,,51,,,19,,,,,,,,,,1,,204,,,672,916,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,,,,391,,66,,150,,,,20,,,1458,111,,,,235,6,,,,,,,,,,313,92,,,201,229,,378,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,418,,,,68,,,,7,2,,,13,9,4,,,,,,,35,,,,,14,7,48,2,,,,,7,15,,7,89,,,,,,,,,,,,,,,,,,26,363,,,,,20,,,,,,12,,,,,,17,,,,,,,14,,,,,,,,,27,,653,,,,,4,,77,1,49,,23,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,576,62,,,15,5,15,276,,,,,,,,,,,,,,,,,1,136,,,,,,,,,,,,,,,,,,,,,,,140,,,20,,,,,86,,,,,,,,,,,,,,,,,,,,,,,49,,,19,,,,,,,,,,,,174,,,681,896,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
1978,,,,384,,139,,148,,,,20,,,1442,109,,,,321,11,,,,,,,,,,236,82,,,193,227,,372,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,378,,,,67,,,,6,1,,,13,14,4,,,,,,,35,,,,,6,8,48,2,,,,,7,15,,7,86,,,,,,,,,,,,,,,,,,25,354,,,,,15,,,,,,12,,,,,,16,,,,,,,14,,,,,,,,,,,653,,,,,,,77,1,49,,23,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,572,38,,,15,5,15,276,,,,122,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,133,,,19,,,,,85,,,,,,,,,,,,,,,,,,,,,,,50,,,19,,,,,,,,,,,,174,,,670,876,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
1979,,,,376,,243,,146,,,,20,,,1407,106,,,,428,50,,,,,,,,,,0,78,,,189,223,,362,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,349,,,,66,,,,3,,,,8,20,4,,,,,,,16,,,,,,8,48,2,,,,,7,15,,7,85,,,,,,,,,,,,,,,,,,24,346,,,,,,,,,,,12,,,,,,16,,,,,,,13,,,,,,,,,,,653,,,,,,,77,1,49,,23,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,570,34,,,15,5,15,275,,,,121,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,133,,,19,,,,,79,,,,,,,,,,,,,,,,,,,,,,,49,,,19,,,,,,,,,,,,172,,,662,857,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
1980,,,,371,,386,,81,,,,20,,,1376,105,,,,505,156,,,,,,,,,,0,77,,,158,220,,354,,,,,,,4,,,,,,,,,,,,2,,,,,,,,,,347,,,,65,,,,18,,57,73,,23,4,,,,,,,,,,,,,14,47,2,,,,,0,15,,7,79,,,,,,,,,,,,,,,,,,19,343,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,657,,,,,,,77,1,38,,23,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,577,34,,,15,5,15,275,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,48,,,19,,,,,,,,,,,,172,,,648,843,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
1981,,,,374,,520,,25,,,,20,,,1342,104,,,,584,306,,,,,,,,,,0,60,,,86,216,,350,,,,,,,4,,,,,,,,,,,,2,,,,,,,,,,347,,,,63,,,,17,,52,71,,25,4,,,,,,,,,,,,,14,45,2,,,,,0,10,,7,78,,,,,,,,,,,,,,,,,,19,338,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,5,,,657,,,,,,,77,1,30,,23,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,580,34,,,15,5,15,274,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,47,,,19,,,,,,,,,,,,165,,,625,834,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
1982,,,,381,,616,,,,,,20,,,1331,101,,,,634,444,,,,,,,,,,5,,,,52,211,,338,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,326,,,,63,,,,,,57,72,,28,4,,,,,,,,,,,,,14,46,8,,,,,0,15,,7,77,,,,,,,,,,,,,,,,,,19,337,,,,,,,,,,,,,,,4,,,,,,,,,13,,,,,,,,11,,,655,,,,,,,77,1,20,,23,11,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,581,34,,,15,5,15,272,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,46,,,19,,,,,,,,,,,,165,,,619,826,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
1983,,,,384,,661,,,,,,20,,,1314,105,,,,663,594,,,,,,,,,,31,,,,14,193,,324,,,,,,,0,,,,,,,,,,,,3,,,,,,,,,,273,,,,62,,,,,,63,73,,31,4,,,,,,,,,,,,,14,47,16,,,,,0,22,,7,77,,,,,,,,,,,,,,,,,,19,333,,,,,,,,,,,,,,,7,,,,,,,,,12,,,,,,,,18,,,655,,,,,,,77,1,11,,23,11,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,583,34,,,14,5,15,272,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,46,9,,19,,,,,,,,,,,,161,,,619,822,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
1984,,,,382,,670,,,,,,20,,,1289,101,,,,699,723,,,,,,,,,,12,,,,,143,,310,,,,,,,3,,,,,,,,,,,,2,,,,,,,,,,264,,,,62,,,,,,62,74,,34,4,,,,,,,,,,,,,14,48,29,,,,,0,21,,7,77,,,,,,,,,,,,,,,,,,19,332,,,,,,,,,,,,,,,9,,,,,,,,,12,,,,,,,,25,,,654,,,,,,,77,1,,,23,59,,8,3,26,1,,,,,,,,,,,,,,,,,,,,,,,,4,,,,583,33,,,14,5,12,271,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,46,11,,19,,,,,,,,,,,,154,,,615,820,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,2,
1985,,,,375,,665,,,,,,20,,,1258,103,,,,731,839,,,,,,,,,,3,,,,,102,,298,,,,,,,3,,,,,,,,,,,,5,,,,,,,,,,263,,,,62,,,,,,62,73,,34,4,,,,,,,,,2,,,,14,47,40,,,,,0,23,,7,77,,,,,,,,,,,,,,,,,,19,330,,,,,,,,,,,,,,,13,,,,,,,,,10,,,,,,,,36,,,651,,,,,,,77,,,,23,77,,6,3,76,5,16,,,,,,,,,,,,,,,,,,,,,,,4,,,,586,30,,,14,6,12,271,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,43,11,,19,,,,,,,,,,,,152,,,611,816,,50,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,7,,,,,,,,2,
1986,,,,374,,659,,,,,,20,,,1171,100,,,,752,972,,,,,,,,,,10,,,,,103,,295,,,,,,,3,,,,,,,,,,,,21,,,,,,,,,,263,,,,62,,,,,,60,73,,34,4,,,,,,,,,2,,,,14,47,42,,,,,0,21,,7,77,,,,,,,,,,,,,,,,,,19,326,,,,,,,,,,,,,,,20,,,,,,,,,10,,,,,,,,48,,,650,,,,,,,84,,,,23,81,,5,3,80,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,603,24,,,14,7,12,271,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,42,11,,18,,,,,,,,,,,,137,,,609,814,,100,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,6,,,,,,,,2,
1987,,,,373,,654,,,,,,20,,,1014,94,,,,798,1120,,,,,,,,,,23,,,,,38,,292,,,,,,,3,,,,,,,,,,,,68,,,,,,,,,,263,,,,62,,,,,,63,73,,34,4,,,,,,,,,3,,,,14,48,42,,,,,0,19,,7,79,,,,,,,,,,,,,,,,,,19,319,,,,,,,,,,,,,,,22,,,,,,,,,10,,,,,,,,56,,,648,,,,,,,96,,,,23,81,,4,13,82,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,598,17,,,14,7,5,271,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,41,9,,18,,,,,,,,,,,,76,,,609,810,,100,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,6,,,,,,,,2,
1988,,,,369,,627,,,,,,20,,,862,70,,,,818,1304,,,,,,,,,,4,,,,,6,,288,49,,,,,,3,,,,,,,,,,,,98,,,,,,,,,,262,,,,62,,,,,,50,73,,34,4,,,,,,,,,4,,,,22,49,42,,,,,8,36,,5,78,,,,,,,,,,,,,,,,,,19,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,647,,,,,,,117,,,,23,86,,3,13,83,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,589,13,,,13,7,5,271,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,49,19,,18,6,,,,,,,,,,,2,,,608,808,,100,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,10,5,,,,,,,3,
1989,,,,365,,584,,,,,,20,,,630,,,,,869,1431,,,,,,,,,,1,,,,,5,,285,48,,,,,,3,,,,,,,,,,,,96,,,,,,,,,,254,,,,61,,,,,,51,73,,34,4,,,,,,,,,4,,,,22,49,42,,,,,6,37,,5,78,,,,,,,,,,,,,,,,,,19,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,643,,,,,,,127,,,,23,86,,3,13,83,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,584,2,,,13,7,3,270,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,49,25,,18,12,,,,,,,,,,,2,,,606,807,,100,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,10,10,5,,,,,,,3,
1990,,,,335,,572,,,,,,20,,,390,,,,,890,1613,,,,,,,,,,,,,,,1,,286,48,,,,,,,,,,,,,,,,,,96,1,,,,,,,,,230,,,,,,,,,,,,,34,4,,,,,,,,,4,,,,30,49,42,,,,,4,29,,5,77,,,,,,,,,,,,,,,,,,19,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,559,,,,,,,127,,,,23,86,,3,13,83,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,568,1,,,12,7,,270,,,,,,,,,,,,,,,,77,,,,,,,,2,,,,,,,,,,,,,,,,,98,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,50,50,,19,10,,,,,,,,,,,1,,,602,804,,102,,,,,,,,,,,,,,,,,,,,0,,,,,,,,2,10,9,4,,,,,,,3,
1991,,,,248,,551,,,,,,20,,,164,,,,,903,1746,,,,,,,,,,,,,,,1,,248,55,,,,,,,,,,,,,,,,,,96,3,,,,,,,,,191,,,,,,,,,,,,,34,4,,,,,,,,,6,,,,30,50,41,,,,,12,23,,5,26,,,,,,,,,,,,,,,,,,19,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,574,,,,,,,126,,,,23,85,1,1,13,83,5,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,576,0,,,12,7,,265,,,,,,,,,,,,,,,,7,,,,,,,,4,,,,,,,,,,,,,,,,,95,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,47,76,,19,10,,,,,,,,,,,0,,,567,721,,100,,,,,,,,,,,,,,,,,,,,0,,,,,,,,3,10,9,4,,,,,,,2,
1992,,,,55,,333,,,,,,22,,,75,,,,,841,1797,,,,,,,,,,,,,,,2,,305,56,,,,,,,,,,,,,,,,,,96,4,,,,,,,,,148,,,,,,,,,,,,,34,4,,,,,,,,,6,,,,30,16,40,,,,,12,42,,5,26,,,,,,,,,,,,,,,,,,19,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,609,,,,,,,126,,,,23,85,3,1,13,83,4,3,,6,,,,,,,,,,,,,,,,,,,,,,,,,550,0,,,10,8,,265,,,,,,,,,,,,,,,,1,,,,,,,,4,,,,,,,,,,,,,,,,,26,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,49,72,,16,10,,,,,,,,,,,1,,,504,638,,100,,,,,,,,,,,,,,,,,,,,0,,,,,,,,3,10,9,4,,,,,,,2,
1993,,,,1,,281,,,,,,22,,,79,,,,,841,1810,,,,,,,,,,,,,,,2,,128,58,,,,,,,,,,,,,,,,,,95,6,,,,,,,,,124,,,,,,,,,,,,,34,4,2,2,,,,,,,6,,,,30,19,40,,,,,12,32,,3,,,,,,,,,,,,,,,,,,,19,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,566,3,,,,,,126,,,,23,84,8,1,13,83,4,3,,10,,,,,,,,,,,,,,,,,,,,,,,,,519,1,,,11,8,,250,,,,,,,,,,,,,,,,8,,,,,,,,4,,,,,,,,,,,,,,,,,96,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,49,90,,15,10,,,,49,,,,,,,1,,,496,559,,70,,,,,,,,,,,,,,,,,,,,3,,,,,,,,4,10,9,4,,,,,,,2,
1994,,,,,,228,,,,,,22,,,75,,,,,786,1630,,,,,,,,,,,,,,,,,104,58,,,,,,,,,,,,,,,,,,95,9,,,,,,,,,94,,,,,,,,,,,,,34,4,0,0,,,,,,,6,,,,30,18,40,,,,,10,38,,3,,,,,,,,,,,,,,,,,,,19,29,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,59,,,553,3,,,,,,126,,,,23,78,16,,13,83,4,3,,10,,,,,,,,,,,,,,,,,,,,,,,,,518,,,,9,8,,246,,,,,,,,,,,,,,,,6,,,,,,,,4,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,100,,14,,,,,87,24,,,,,,,,,494,506,,50,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,4,10,9,4,,,,,,,2,
1995,,,,,,225,,,,,,21,,,66,,,,,747,1538,,,,,,,,,,,,,,,,,105,54,,,,,,,,,,,,,,,,,,95,14,,,,,,,,,94,,,,,,,,,,,,,33,4,0,0,,,,,,,4,,,,30,41,40,,,,,10,16,,3,,,,,,,,,,,,,,,,,,,19,8,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,59,,,551,3,,,,,,126,,,,23,48,23,,13,82,3,3,,10,,,,,,,,,,,,,,,,,,,,,,,,,522,,,,8,8,,242,,,,,,,,,,,,,,,,3,,,,,,,,4,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,99,,14,,,,,123,95,,,,,,,,,461,471,,3,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,3,11,9,4,,2,,,,,2,
1996,,,,,,235,,,,,,21,,,12,,,,,886,1363,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,1,,,3,95,19,,,,,,,,,94,,,,,,,,,,,,,32,4,1,0,,,,,,,4,,,,34,14,37,,,,,21,53,,2,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,59,,,550,3,,,,,,126,,,,23,37,27,,13,80,3,3,,10,,,,,,,,,,,,,,,,,,,,,,,,,529,,,,7,5,,220,,,,,,,,,,7,,,,,,2,,,,,,,,4,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,99,,13,,,,,123,112,,,,,,,,,420,451,,3,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,3,14,9,4,1,2,,,,,2,
1997,,,,,,231,,,,,,21,,,3,,,,,733,1480,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,1,,,3,94,20,,,,,,,,,94,,,,,,,,,,,,,32,4,2,0,,,,,,,4,,,,30,14,33,,,,,23,53,,2,,,,,,,,,,,,,,,,,,,19,,,,,,,,,2,,,2,,,,,4,31,,,,,,,,,,,,,,,59,,,552,3,,,,,,126,,,,23,34,34,,13,80,3,3,,7,,,,,,,,,,,,,,,,,,,,,,,,,525,,,,5,5,,205,,,,,,,,,1,7,,4,,2,,2,,,,,,,,4,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,99,94,10,,,,,156,110,,,,,,,,,419,377,,3,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,3,14,9,4,1,2,,,,,3,
1998,,,,,,228,,,,,,21,,,,,,,,730,1444,,,,,,,,,,,,,,,,,,53,2,,,,,,,,,,,,,1,,,3,93,21,,,,,,,,,94,,,,,,,,,,,,,32,4,5,0,,,,,,,3,,,,30,9,,,,,,23,53,,2,,,,,,,,,,,,,,,,,,,19,,,,,,,,,4,,,2,,,,,4,31,,,,,,,,,,,,,,,59,,,549,3,,,,,,126,,,,23,34,43,,13,78,3,,,7,2,,2,,,,,,,,,,,,,,,,,,,,,,519,,,,5,4,,167,,,,,,,,,1,7,,4,,,,3,,,,,,,,4,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,97,93,11,3,,,,179,110,,,,,,,,,418,416,,3,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,3,14,9,4,1,2,,,,,3,
1999,,,,,,226,,,,,,21,,,,,,,,730,1431,,,,,,,,,,,,,,,,,,53,2,,,,,,,,,,,,,1,,,3,93,21,,,,,,,,,94,,,,,,,,,,,,,32,4,5,0,,,,,,,3,,,,30,3,,,,,,19,57,,2,,,,,,,,,,,,,,,,,,,21,,,,,,,,,6,,,,,,,,4,31,,,,,,,,,,,,,,,59,,,547,,,,,,,126,,,,23,32,55,,13,78,3,,,,4,,2,,,,,,,,,,,,,,,,,,,,,,522,,,,5,2,,155,,,,,,,,,1,8,,2,,,,3,,,,,,,,4,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,99,93,11,1,,,,180,110,1,,,,,,,,417,416,,3,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,3,14,9,4,1,2,,,,,3,
2000,,,,,,249,,,,,,21,,,,,,,,740,1412,,,,,,,,,,,,,,,,,,52,3,,,,,,,,,,,,,,,,3,93,21,,,,,,,,,94,,,,,,,,,,,,,32,4,8,0,,,,,,,3,,,,30,3,,,,,,28,52,,2,,,,,,,,,,,,,,,,,,,21,,,,,,,,,6,,,,,,1,,4,31,,,,,,,,,,,,,,,59,,,546,,,,,,,126,,,,23,30,67,,13,77,3,,,,4,,2,,,,,,,,,,,,,,,,,,,,,,526,,,,5,1,,130,,,,,,,,,1,7,,2,,,,3,,,,,,,,6,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,104,93,11,,,,,180,110,13,,,,,,,,417,416,,3,,,,,,,,,,,,,4,,,,,,,2,,,,,,,,3,14,9,4,1,2,,,,,3,
2001,,,,,,248,,,,,,21,,,,,,,,734,1378,,,,,,,,,,,,,,,,,,52,6,,,,,,,,,,,,,,,,3,93,21,,,,,,,,,94,,,,,,,,,,,,,32,4,11,0,,,,,,,3,,,,30,2,,,,,,28,52,,2,,,,,,,,,,,,,,,,,,,21,,,,,,,,,8,,,,,,1,,4,31,,,,,,,,,,,,,,,59,,,547,,,,,,,126,,,,23,27,76,,13,78,3,,,,4,6,2,,2,,,,,,,,,,,,,,,,,,,,519,,,,3,1,,102,,,,,,,,,1,8,,2,1,,,3,,,,,,,,4,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,105,77,10,,,,,180,110,34,,,,,,,,415,413,,6,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,3,14,9,4,1,2,,,,,3,
2002,,,,,,245,,,,,,21,,,,,,,,735,1391,,,,,,,,,,,,,,,,,,52,8,,,,,,,,,,,,,,,,3,78,21,,,,,,,,,93,,,,,,,,,,,,,31,4,14,0,,,,,,,,,,,27,2,,,,,,30,49,,2,,,,,,,,,,,,,,,,,,,21,,,,,,,,,8,,,,,,1,,4,31,,,,,,,,,,,,,,,59,,,546,,,,,,,126,,,,23,27,92,,12,78,2,,,,4,9,2,2,2,,,,,,,,,,,,,,,,,,,,521,,,,3,,,76,,,,,,,,,,10,,2,1,,,3,,,,,,,,4,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,105,31,10,,,,,180,110,81,,,,,,,,404,458,,4,,,,,,,,,,,,,2,,,,,,1,2,,,,,,,,3,14,9,4,16,2,5,,,,3,
2003,,,,,,243,,,,,,21,,,,,,,,734,1361,,,,,,,,,,,,,,,,,,55,17,,,,,,,,,,,,,,,,3,67,21,,,,,,,,,94,,,,,,,,,,,,,32,4,16,0,,,,,,,,,,,22,,,,,,,20,62,,2,,,,,,,,,,,,,,,,,,,21,,,,,,,,,6,2,,,,,1,,5,34,,,,,,,,,,,,,,,59,,,546,,,,,,,126,,,,6,27,109,,10,77,2,,,,5,9,2,4,2,,,,,,,,,,,,,,,,,,,,512,,,,3,,,59,,,,,,,,,,10,,2,1,,,,,,,,,,,4,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,103,31,10,,,,,180,110,110,,,,,,,,333,489,,4,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,3,14,9,4,21,2,14,,,,3,
