"Fiscal_Year","SimpleArea","type","Action_Obligation_OMB23_GDP21","Action_Obligation_OMB23_GDP21.lagged","amount_change","Action_Obligation_OMB23_GDP21.2000","baseline_change","amount_percent_change","baseline_percent_change",".group"
2004,"R&D","Engines",1465479870.06442,2031802009.6243,-566638495.561262,787820642.369625,677342871.693415,-0.278884700811,0.859767865000448,34
2004,"R&D","Topline",41780101663.735,40538409677.3821,1241691986.35286,29170270778.6203,12609830885.1147,0.0306300122830335,0.43228364182196,34
2005,"Products","Engines",7746151751.22509,6703076853.78986,1043074897.43523,5313394394.47083,2406658423.28521,0.155611358811362,0.452941800403448,35
2005,"Products","Topline",166506516851.687,144933584300.959,21572932550.7279,91610962290.8668,74892635040.9874,0.148847022964195,0.817507350301611,35
2005,"R&D","Engines",1873253194.80549,1465163514.06304,408089680.742448,787820642.369625,1085432552.43586,0.278528421452959,1.37776607270796,36
2005,"R&D","Topline",46298844076.9304,41780101663.735,4518742413.19539,29170270778.6203,17128573298.3101,0.108155371414944,0.587192811074764,36
2006,"Products","Engines",6016164883.06388,7746151751.22509,-1729986868.16121,5313394394.47083,694720410.296935,-0.223335008623811,0.130748888322664,37
2006,"Products","Topline",177636426534.612,166506516851.687,11129909682.9246,91610962290.8668,86023865841.1558,0.0668436881232605,0.939012795958066,37
2006,"R&D","Engines",1530618081.10633,1873253194.80549,-342635113.699154,787820642.369625,742797438.736709,-0.182909130836812,0.942850947015688,38
2006,"R&D","Topline",49432048448.897,46298844076.9304,3133204371.96665,29170270778.6203,20261777670.2767,0.0676734902227906,0.694603688256715,38
2007,"Products","Engines",6800816181.00654,6016164883.06388,784651297.942658,5313394394.47083,1471985750.22507,0.130423835316005,0.277033030289796,39
2007,"Products","Topline",201003077277.27,177636426534.612,23366650742.6587,91610962290.8668,109391199464.059,0.131541999569023,1.19408416556896,39
2007,"R&D","Engines",1697618391.80419,1530618081.10633,166949147.760174,787820642.369625,909746586.496883,0.109073027309009,1.15476358141686,40
2007,"R&D","Topline",51671030264.377,49432048448.897,2238981815.48001,29170270778.6203,22500759485.7567,0.0452941337803283,0.771359294417253,40
2008,"Products","Engines",5115332336.37258,6800816181.00654,-1685483844.63396,5313394394.47083,-220344132.841736,-0.247835524409734,-0.0414695609780121,41
2008,"Products","Topline",232853520852.015,201003077277.27,31850443574.7448,91610962290.8668,141239796397.426,0.158457492323907,1.54173466652371,41
2008,"R&D","Engines",1686888870.71865,1697567228.86651,-10678358.1478621,787820642.369625,899068228.349021,-0.00629038895560689,1.14120928038238,42
2008,"R&D","Topline",48432622793.7437,51671030264.377,-3238407470.63333,29170270778.6203,19262352015.1234,-0.062673561066305,0.660341899508226,42
2009,"Products","Engines",5787642549.85259,5115332336.37258,672310213.480014,5313394394.47083,457374564.397369,0.131430407502471,0.0860795435914407,43
2009,"Products","Topline",213145583920.935,232853520852.015,-19707936931.0806,91610962290.8668,121532942736.317,-0.0846366284648344,1.32662008669276,43
2009,"R&D","Engines",1471734377.55754,1686888870.71865,-215102972.264441,787820642.369625,683965256.08458,-0.127514607511047,0.868173819395406,44
2009,"R&D","Topline",51550965520.968,48432622793.7437,3118342727.22426,29170270778.6203,22380694742.3477,0.0643851715506738,0.767243297540835,44
2010,"Products","Engines",5267754593.94323,5787642549.85259,-519887955.909361,5313394394.47083,-38728618.5467454,-0.0898272399221687,-0.00728886577421145,45
2010,"Products","Topline",195345893811.56,213145583920.935,-17799690109.3745,91610962290.8668,103731832975.268,-0.0835095420788882,1.13230808171098,45
2010,"R&D","Engines",1432026191.96687,1471734377.55754,-39708185.5906704,787820642.369625,649264654.570671,-0.0269805381977754,0.824127497621536,46
2010,"R&D","Topline",47936226959.7959,51550965520.968,-3614738561.17207,29170270778.6203,18765956181.1756,-0.0701197062875923,0.643324716578555,46
2011,"Products","Engines",6199784706.33818,5267754593.94323,932030112.39495,5313394394.47083,906418461.272251,0.176931194453626,0.170591225491463,47
2011,"Products","Topline",203881747432.309,195345893811.56,8535853620.74846,91610962290.8668,112262699087.84,0.0436960995401446,1.22542866356325,47
2011,"R&D","Engines",665675983.813912,1432026191.96687,-766350208.152955,787820642.369625,-121571595.679694,-0.535150971715388,-0.154313798270159,48
2011,"R&D","Topline",44136702952.5436,47936226959.7959,-3799524007.25228,29170270778.6203,14966432173.9233,-0.0792620581181524,0.51307141738611,48
2012,"Products","Engines",5469687676.22295,6199784706.33818,-730097030.115229,5313394394.47083,175985799.627124,-0.117761674751195,0.0331211625868121,49
2012,"Products","Topline",198211122592.501,203881747432.309,-5670624839.80752,91610962290.8668,106544841353.182,-0.0278133031093931,1.16301410539603,49
2012,"R&D","Engines",722571271.229486,665675983.813912,56895287.4155737,787820642.369625,-65181365.2214877,0.0854699415316126,-0.0827363002642755,50
2012,"R&D","Topline",38586478407.2685,44136702952.5436,-5557948751.83831,29170270778.6203,9408483422.08501,-0.125925780133924,0.322536718753422,50
2013,"Products","Engines",5848574240.55271,5469687676.22295,378886564.329763,5313394394.47083,555266430.460433,0.0692702374903058,0.104503146056361,51
2013,"Products","Topline",168191462791.991,198211122592.501,-30019659800.5102,91610962290.8668,76520434613.1088,-0.15145295283064,0.835275961518172,51
2013,"R&D","Engines",734033506.344249,722571271.229486,11462235.1147635,787820642.369625,-53217843.9811417,0.0158631204576679,-0.0675507103000904,52
2013,"R&D","Topline",30266016850.6557,38586478407.2685,-8320461556.61279,29170270778.6203,1074141092.25871,-0.215631534673697,0.0368231443722483,52
2014,"Products","Engines",5912171054.57842,5848574240.55271,63596814.0257078,5313394394.47083,605836440.684144,0.0108739004430758,0.114020604477353,53
2014,"Products","Topline",145071709308.857,168191462791.991,-23119753483.134,91610962290.8668,53367658025.1091,-0.137460921614833,0.582546637329991,53
2014,"R&D","Engines",415242008.54902,734033506.344249,-318791497.795229,787820642.369625,-371624523.898924,-0.43430101628865,-0.471712092718392,54
2014,"R&D","Topline",27129323366.9217,30266016850.6557,-3136693483.73398,29170270778.6203,-2059163510.50683,-0.103637472324543,-0.0705911688696442,54
2015,"Products","Engines",5602364858.65323,5912171054.57842,-309806195.925189,5313394394.47083,297844624.114696,-0.0524014263229534,0.0560554331191066,55
