"Fiscal_Year","SubCustomer","type","Action_Obligation_OMB23_GDP21","Action_Obligation_OMB23_GDP21.lagged","amount_change","Action_Obligation_OMB23_GDP21.2000","baseline_change","amount_percent_change","baseline_percent_change"
1999,"DLA","Topline",12213509911.816,11639668438.655,573841473.161028,14727836081.5909,-2514326169.77489,0.0493004999399569,-0.17071932060119
1999,"Navy","Topline",59080506255.3487,60494273386.1971,-1413767130.84844,62222736525.2979,-3142230269.94917,-0.0233702638565954,-0.0504997119288001
2000,"Air Force","Engines",3341073252.78117,0,0,3341073252.78117,0,NA,0
2000,"Air Force","Topline",58352469213.8231,55572186450.6252,2780282763.19798,58352469213.8231,0,0.050030112917515,0
2000,"Army","Engines",1032405549.59342,0,0,1032405549.59342,0,NA,0
2000,"Army","Topline",56620882464.0461,53248877399.5333,3330081674.47102,56620882464.0461,0,0.0625380634691129,0
2000,"DLA","Engines",579516667.894779,0,0,579516667.894779,0,NA,0
2000,"DLA","Topline",14727836081.5909,12213509911.816,2514326169.77489,14727836081.5909,0,0.205864341039458,0
2000,"Navy","Engines",1263872297.94853,0,0,1263872297.94853,0,NA,0
2000,"Navy","Topline",62222771030.4979,59080506255.3487,3142230269.94917,62222771030.4979,0,0.0531855677804842,0
2001,"Air Force","Engines",4014173830.57093,3341073252.78117,673100577.789764,3341073252.78117,673100577.789764,0.20146238255311,0.20146238255311
2001,"Air Force","Topline",60873244329.9203,58352469213.8231,2520775116.09719,58352469213.8231,2520775116.09719,0.0431991165079959,0.0431991165079959
2001,"Army","Engines",856262385.098869,1032405549.59342,-176143164.49455,1032405549.59342,-176143164.49455,-0.170614313884615,-0.170614313884615
2001,"Army","Topline",60729126970.1162,56620882464.0461,4108244506.07008,56620882464.0461,4108244506.07008,0.0725570554058176,0.0725570554058176
2001,"DLA","Engines",716825592.465791,579516667.894779,137308924.571012,579516667.894779,137308924.571012,0.236936972097483,0.236936972097483
2001,"DLA","Topline",17109478603.0044,14727836081.5909,2381642521.4135,14727836081.5909,2381642521.4135,0.161710281688322,0.161710281688322
