"","year","aircraft","amount","engine_type","engine_number","type_list","engine_spec_record_count","takeoff_weight","speed","range","ceiling","climb_rate","thrust_weight_aircraft","engine","engine_company","thrust","pressure_ratio","engine_weight","thrust_weight_engine","intro_year","age","min_year","engine_amount"
"14879",2010,"HOK-1",0,"Turboshaft",1,"Helicopter",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1957,53,1957,0
"14880",2010,"HSS-2",0,"Turboshaft",2,"Helicopter",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1963,47,1963,0
"14881",2010,"HUL-1",0,"Radial",1,"Helicopter",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1962,48,1962,0
"14882",2010,"JD-1",0,"Radial",2,"Bomber",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1951,59,1951,0
"14883",2010,"JRB-57",0,"Turbojet",2,"Recon",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,42,1968,0
"14884",2010,"KB-29",59,"Radial",4,"Tanker",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1948,62,1950,236
"14885",2010,"KB-50",0,"Radial",4,"Tanker",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1956,54,1956,0
"14886",2010,"KC-10",0,"Turbofan",3,"Tanker",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,29,1981,0
"14887",2010,"KC-119",0,"Radial",2,"Tanker",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1953,57,1953,0
"14888",2010,"KC-135",417,"Turbofan",4,"Tanker",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1957,53,1957,1668
"14889",2010,"KC-97",0,NA,NA,"Tanker",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1951,59,1951,NA
"14890",2010,"LC-130",10,"Turboprop",4,"Transport",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,14,1996,40
"14891",2010,"LT-6",0,"Radial",1,"Trainer",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1954,56,1954,0
"14892",2010,"M/RQ-1",174,"Turboprop",1,"Recon",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,13,1997,174
"14893",2010,"MC-12",37,"Turboprop",2,"Recon",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,1,2009,74
"14894",2010,"MC-130",71,"Turboprop",4,"Recon, Transport",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1966,44,1966,284
"14895",2010,"MC/WC-130",0,"Turboprop",4,"Recon",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971,39,1971,0
"14896",2010,"MiG-15",0,"Turbojet",1,"FighterAttack",1,13458,669,1362,15500,10080,0.54,"Klimov VK-1","Klimov",5955,5.35,1922,3.1,1954,56,1954,0
"14897",2010,"MQ-9",54,"Turboprop",1,"Recon",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,6,2004,54
"14898",2010,"N-156",0,"Turbojet",2,"FighterAttack",1,24722,1060,870,51800,34400,0.52,"J85-GE-21B","GE",3100,8.3,421,7.36,1960,50,1960,0
"14899",2010,"NA-37",0,"Turbojet",2,"FighterAttack",1,14000,507,920,41765,6990,0.47,"J85-GE-17A","GE",3100,8.3,421,7.36,1980,30,1980,0
"14900",2010,"NC-130",1,"Turboprop",4,"Transport",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,13,1997,4
"14901",2010,"NC-135",0,"Turbofan",4,"Transport",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,9,2001,0
"14902",2010,"NC-141",0,"Turbofan",4,"Transport",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,13,1997,0
"14903",2010,"NKC-135",0,"Turbofan",4,"Tanker",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,17,1993,0
"14904",2010,"NT-29",0,"Radial",NA,"Transport, Trainer",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,42,1968,NA
"14905",2010,"NT/T-39",0,"Turbojet",2,"Transport",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990,20,1990,0
"14906",2010,"OC-135",2,"Turbofan",4,"Recon",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,0,2010,8
"14907",2010,"OC/WC-135",1,"Turbofan",4,"Recon",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1966,44,1966,4
"14908",2010,"OH-13",0,"Radial",1,"Helicopter",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1965,45,1965,0
"14909",2010,"OV-10",0,"Turboprop",2,"Recon",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,42,1968,0
"14910",2010,"P2V-5",0,"Turbojet",6,"Bomber",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1958,52,1958,0
"14911",2010,"R-47",0,"Radial",2,"Recon",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1962,48,1962,0
"14912",2010,"RB-17",0,"Radial",4,"Recon",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1938,72,1950,0
"14913",2010,"RB-25",0,"Radial",2,"Recon",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1941,69,1950,0
"14914",2010,"RB-26",0,"Radial",2,"Recon",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1941,69,1950,0
"14915",2010,"RB-29",0,"Radial",4,"Recon",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1944,66,1950,0
"14916",2010,"RB-36",0,"Turbojet",4,"Recon",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1949,61,1950,0
"14917",2010,"RB-45",0,"Turbojet",4,"Recon",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1951,59,1951,0
"14918",2010,"RB-47",0,"Turbojet",6,"Recon",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1953,57,1953,0
