"","fydp_year","account","organization","program_number","program_name","project_number","project_name","fy","amount","amount_18","stage"
"1163","2010 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2008,461000,0.5352917,"Operational Systems Development"
"1164","2010 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",2008,158560000,184.1125,"Operational Systems Development"
"1165","2010 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","5365","Aircraft Engine Component Improvement Program (F135)",2008,0,0,"Operational Systems Development"
"1166","2010 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","612308","Advanced Aerospace Propulsion",2009,26159000,30.0253,"Advanced Technology Development"
"1167","2010 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2009,83446000,95.77932,"Applied Research"
"1168","2010 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2009,18006000,20.66729,"Applied Research"
"1169","2010 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2009,28380000,32.57456,"Applied Research"
"1170","2010 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2009,87533000,100.4704,"Applied Research"
"1171","2010 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","625330","Combustion and Mechanical Systems",2009,0,0,"Applied Research"
"1172","2010 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2009,17339000,19.9017,"Advanced Technology Development"
"1173","2010 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","634921","Aircraft Propulsion Subsystems Int",2009,47451000,54.46426,"Advanced Technology Development"
"1174","2010 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2009,51480000,59.08874,"Advanced Technology Development"
"1175","2010 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Engineering Development","652","AV-8B",2009,25726000,29.5283,"System Development & Demonstration"
"1176","2010 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2009,59421000,68.20342,"Operational Systems Development"
"1177","2010 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2009,3321000,3.811844,"Basic Research"
"1178","2010 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2009,4239000,4.865524,"Applied Research"
"1179","2010 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2009,8612000,9.884854,"Advanced Technology Development"
"1180","2010 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2009,331000,0.3799218,"Operational Systems Development"
"1181","2010 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",2009,150547000,172.7978,"Operational Systems Development"
"1182","2010 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","5365","Aircraft Engine Component Improvement Program (F135)",2009,0,0,"Operational Systems Development"
"1183","2010 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","612308","Advanced Aerospace Propulsion",2010,31447000,35.78,"Advanced Technology Development"
"1184","2010 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2010,82625000,94.00969,"Applied Research"
"1185","2010 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2010,17568000,19.98865,"Applied Research"
"1186","2010 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2010,18921000,21.52808,"Applied Research"
"1187","2010 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2010,64312000,73.17339,"Applied Research"
"1188","2010 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","625330","Combustion and Mechanical Systems",2010,5598000,6.369334,"Applied Research"
"1189","2010 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2010,12019000,13.67507,"Advanced Technology Development"
"1190","2010 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","634921","Aircraft Propulsion Subsystems Int",2010,36568000,41.60661,"Advanced Technology Development"
"1191","2010 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2010,64100000,72.93218,"Advanced Technology Development"
"1192","2010 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Engineering Development","652","AV-8B",2010,17359000,19.75085,"System Development & Demonstration"
"1193","2010 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2010,78340000,89.13427,"Operational Systems Development"
"1194","2010 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2010,3348000,3.809312,"Basic Research"
"1195","2010 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2010,4279000,4.868593,"Applied Research"
"1196","2010 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2010,17935000,20.40622,"Advanced Technology Development"
"1197","2010 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2010,792000,0.9011277,"Operational Systems Development"
"1198","2010 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",2010,154765000,176.0897,"Operational Systems Development"
"1199","2010 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","5365","Aircraft Engine Component Improvement Program (F135)",2010,11798000,13.42362,"Operational Systems Development"
"1200","2010 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","612308","Advanced Aerospace Propulsion",2011,NA,NA,"Advanced Technology Development"
"1201","2010 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2011,NA,NA,"Applied Research"
"1202","2010 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2011,NA,NA,"Applied Research"
"1203","2010 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2011,NA,NA,"Applied Research"
"1204","2010 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2011,NA,NA,"Applied Research"
"1205","2010 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","625330","Combustion and Mechanical Systems",2011,NA,NA,"Applied Research"
"1206","2010 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2011,NA,NA,"Advanced Technology Development"
"1207","2010 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","634921","Aircraft Propulsion Subsystems Int",2011,NA,NA,"Advanced Technology Development"
"1208","2010 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2011,NA,NA,"Advanced Technology Development"
"1209","2010 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Engineering Development","652","AV-8B",2011,NA,NA,"System Development & Demonstration"
"1210","2010 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2011,NA,NA,"Operational Systems Development"
"1211","2010 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2011,NA,NA,"Basic Research"
"1212","2010 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2011,NA,NA,"Applied Research"
"1213","2010 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2011,NA,NA,"Advanced Technology Development"
"1214","2010 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2011,NA,NA,"Operational Systems Development"
"1215","2010 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",2011,NA,NA,"Operational Systems Development"
"1216","2010 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","5365","Aircraft Engine Component Improvement Program (F135)",2011,NA,NA,"Operational Systems Development"
"1217","2010 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","612308","Advanced Aerospace Propulsion",2012,NA,NA,"Advanced Technology Development"
"1218","2010 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2012,NA,NA,"Applied Research"
"1219","2010 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2012,NA,NA,"Applied Research"
"1220","2010 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2012,NA,NA,"Applied Research"
"1221","2010 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2012,NA,NA,"Applied Research"
"1222","2010 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","625330","Combustion and Mechanical Systems",2012,NA,NA,"Applied Research"
"1223","2010 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2012,NA,NA,"Advanced Technology Development"
"1224","2010 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","634921","Aircraft Propulsion Subsystems Int",2012,NA,NA,"Advanced Technology Development"
"1225","2010 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2012,NA,NA,"Advanced Technology Development"
"1226","2010 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Engineering Development","652","AV-8B",2012,NA,NA,"System Development & Demonstration"
"1227","2010 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2012,NA,NA,"Operational Systems Development"
"1228","2010 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2012,NA,NA,"Basic Research"
"1229","2010 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2012,NA,NA,"Applied Research"
"1230","2010 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2012,NA,NA,"Advanced Technology Development"
"1231","2010 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2012,NA,NA,"Operational Systems Development"
"1232","2010 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",2012,NA,NA,"Operational Systems Development"
"1233","2010 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","5365","Aircraft Engine Component Improvement Program (F135)",2012,NA,NA,"Operational Systems Development"
"1234","2010 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","612308","Advanced Aerospace Propulsion",2013,NA,NA,"Advanced Technology Development"
"1235","2010 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2013,NA,NA,"Applied Research"
"1236","2010 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2013,NA,NA,"Applied Research"
"1237","2010 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2013,NA,NA,"Applied Research"
"1238","2010 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2013,NA,NA,"Applied Research"
"1239","2010 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","625330","Combustion and Mechanical Systems",2013,NA,NA,"Applied Research"
"1240","2010 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2013,NA,NA,"Advanced Technology Development"
"1241","2010 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","634921","Aircraft Propulsion Subsystems Int",2013,NA,NA,"Advanced Technology Development"
"1242","2010 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2013,NA,NA,"Advanced Technology Development"
"1243","2010 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Engineering Development","652","AV-8B",2013,NA,NA,"System Development & Demonstration"
"1244","2010 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2013,NA,NA,"Operational Systems Development"
"1245","2010 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2013,NA,NA,"Basic Research"
"1246","2010 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2013,NA,NA,"Applied Research"
"1247","2010 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2013,NA,NA,"Advanced Technology Development"
"1248","2010 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2013,NA,NA,"Operational Systems Development"
"1249","2010 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",2013,NA,NA,"Operational Systems Development"
"1250","2010 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","5365","Aircraft Engine Component Improvement Program (F135)",2013,NA,NA,"Operational Systems Development"
"1251","2010 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","612308","Advanced Aerospace Propulsion",2014,NA,NA,"Advanced Technology Development"
"1252","2010 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2014,NA,NA,"Applied Research"
"1253","2010 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2014,NA,NA,"Applied Research"
"1254","2010 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2014,NA,NA,"Applied Research"
"1255","2010 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2014,NA,NA,"Applied Research"
"1256","2010 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","625330","Combustion and Mechanical Systems",2014,NA,NA,"Applied Research"
"1257","2010 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2014,NA,NA,"Advanced Technology Development"
"1258","2010 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","634921","Aircraft Propulsion Subsystems Int",2014,NA,NA,"Advanced Technology Development"
"1259","2010 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2014,NA,NA,"Advanced Technology Development"
"1260","2010 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Engineering Development","652","AV-8B",2014,NA,NA,"System Development & Demonstration"
"1261","2010 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2014,NA,NA,"Operational Systems Development"
"1262","2010 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2014,NA,NA,"Basic Research"
"1263","2010 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2014,NA,NA,"Applied Research"
"1264","2010 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2014,NA,NA,"Advanced Technology Development"
"1265","2010 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2014,NA,NA,"Operational Systems Development"
"1266","2010 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",2014,NA,NA,"Operational Systems Development"
"1267","2010 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","5365","Aircraft Engine Component Improvement Program (F135)",2014,NA,NA,"Operational Systems Development"
"1268","2011 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2009,79314000,91.03661,"Applied Research"
"1269","2011 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2009,17276000,19.82939,"Applied Research"
"1270","2011 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2009,27086000,31.08931,"Applied Research"
"1271","2011 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2009,85675000,98.33777,"Applied Research"
"1272","2011 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","625330","Combustion and Mechanical Systems",2009,0,0,"Applied Research"
"1273","2011 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2009,14998000,17.2147,"Advanced Technology Development"
"1274","2011 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","634921","Aircraft Propulsion Subsystems Int",2009,44678000,51.28141,"Advanced Technology Development"
"1275","2011 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2009,48405000,55.55926,"Advanced Technology Development"
"1276","2011 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Engine Dev","652","AV-8B",2009,29677000,34.06326,"System Development & Demonstration"
"1277","2011 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2009,57878000,66.43237,"Operational Systems Development"
"1278","2011 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2009,3299000,3.786592,"Basic Research"
"1279","2011 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2009,4238000,4.864376,"Applied Research"
"1280","2011 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2009,11281000,12.94833,"Advanced Technology Development"
"1281","2011 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2009,326000,0.3741828,"Operational Systems Development"
"1282","2011 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","671012","Aircraft Engine Component Improvement Program (USAF)",2009,146359000,167.9909,"Operational Systems Development"
"1283","2011 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","675365","Aircraft Engine Component Improvement Program (F135)",2009,0,0,"Operational Systems Development"
"1284","2011 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2010,110280000,125.4752,"Applied Research"
"1285","2011 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2010,17494000,19.90445,"Applied Research"
"1286","2011 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2010,19638000,22.34387,"Applied Research"
"1287","2011 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2010,60655000,69.0125,"Applied Research"
"1288","2011 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","625330","Combustion and Mechanical Systems",2010,6880000,7.827978,"Applied Research"
"1289","2011 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2010,26524000,30.17867,"Advanced Technology Development"
"1290","2011 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","634921","Aircraft Propulsion Subsystems Int",2010,39592000,45.04728,"Advanced Technology Development"
"1291","2011 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2010,57842000,65.8119,"Advanced Technology Development"
"1292","2011 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Engine Dev","652","AV-8B",2010,17287000,19.66893,"System Development & Demonstration"
"1293","2011 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2010,65568000,74.60245,"Operational Systems Development"
"1294","2011 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2010,3331000,3.78997,"Basic Research"
"1295","2011 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2010,4256000,4.842423,"Applied Research"
"1296","2011 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2010,17842000,20.3004,"Advanced Technology Development"
"1297","2011 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2010,788000,0.8965765,"Operational Systems Development"
"1298","2011 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","671012","Aircraft Engine Component Improvement Program (USAF)",2010,139689000,158.9364,"Operational Systems Development"
"1299","2011 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","675365","Aircraft Engine Component Improvement Program (F135)",2010,0,0,"Operational Systems Development"
"1300","2011 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2011,84865000,94.63523,"Applied Research"
"1301","2011 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2011,22859000,25.49068,"Applied Research"
"1302","2011 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2011,18679000,20.82945,"Applied Research"
"1303","2011 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2011,67274000,75.01904,"Applied Research"
"1304","2011 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","625330","Combustion and Mechanical Systems",2011,6679000,7.447932,"Applied Research"
"1305","2011 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2011,9393000,10.47439,"Advanced Technology Development"
"1306","2011 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","634921","Aircraft Propulsion Subsystems Int",2011,41403000,46.16959,"Advanced Technology Development"
"1307","2011 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2011,34766000,38.7685,"Advanced Technology Development"
"1308","2011 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Engine Dev","652","AV-8B",2011,22867000,25.4996,"System Development & Demonstration"
"1309","2011 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2011,75583000,84.28463,"Operational Systems Development"
"1310","2011 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2011,3429000,3.82377,"Basic Research"
"1311","2011 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2011,5448000,6.075211,"Applied Research"
"1312","2011 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2011,10943000,12.20283,"Advanced Technology Development"
"1313","2011 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2011,710000,0.79174,"Operational Systems Development"
"1314","2011 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","671012","Aircraft Engine Component Improvement Program (USAF)",2011,120626000,134.5133,"Operational Systems Development"
"1315","2011 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","675365","Aircraft Engine Component Improvement Program (F135)",2011,26770000,29.85194,"Operational Systems Development"
"1316","2011 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2012,81649000,89.41582,"Applied Research"
"1317","2011 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2012,20455000,22.40077,"Applied Research"
"1318","2011 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2012,20087000,21.99777,"Applied Research"
"1319","2011 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2012,69169000,75.74867,"Applied Research"
"1320","2011 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","625330","Combustion and Mechanical Systems",2012,6234000,6.827006,"Applied Research"
"1321","2011 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2012,6882000,7.536647,"Advanced Technology Development"
"1322","2011 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","634921","Aircraft Propulsion Subsystems Int",2012,18006000,19.71881,"Advanced Technology Development"
"1323","2011 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2012,33540000,36.73048,"Advanced Technology Development"
"1324","2011 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Engine Dev","652","AV-8B",2012,21446000,23.48604,"System Development & Demonstration"
"1325","2011 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2012,80654000,88.32617,"Operational Systems Development"
"1326","2011 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2012,3496000,3.828555,"Basic Research"
"1327","2011 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2012,4571000,5.005814,"Applied Research"
"1328","2011 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2012,9635000,10.55152,"Advanced Technology Development"
"1329","2011 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2012,852000,0.9330461,"Operational Systems Development"
"1330","2011 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","671012","Aircraft Engine Component Improvement Program (USAF)",2012,112326000,123.011,"Operational Systems Development"
"1331","2011 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","675365","Aircraft Engine Component Improvement Program (F135)",2012,31980000,35.02208,"Operational Systems Development"
"1332","2011 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2013,80713000,86.92286,"Applied Research"
"1333","2011 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2013,23235000,25.02264,"Applied Research"
"1334","2011 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2013,18995000,20.45643,"Applied Research"
"1335","2011 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2013,65198000,70.21417,"Applied Research"
"1336","2011 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","625330","Combustion and Mechanical Systems",2013,6572000,7.077633,"Applied Research"
